level	code	name	colour	order1	order2	penportrait
Supergroup	1	Retail	#FEB93D	1	10	"The retail supergroup is characterised by high workplace population density, higher than average female, young and student workers, working part-time, in semi-routine occupations in the retail, motor repair, real estate, food and accommodation services, and finance and insurance sectors. They tend to travel very short distances to work by public transport, bike or on foot."
Supergroup	2	Top jobs	#3D76EA	2	20	"This supergroup is characterised by high density and a low OA:WZ ratio (splits), higher than average percentage of young females, high Black, Asian + European ethnicities, high percentages of Level 4 qualifications, high employees, high on ICT, Finance, Prof/Sci/Tech, high on Higher managerial and Lower managerial, low on routine occupations, high on travelling more than 20km to work, low on working from home/no fixed place, low on part time working. This group is mainly found in large numbers in the major metropolitan centres. There are small numbers of isolated WZs in this group in other locations e.g. Science Parks etc."
Supergroup	3	Metro suburbs	#9731B5	3	30	"This supergroup is characterised by a higher than average percentage of non-white workers, self-employed workers and workers working from home or with no fixed place of work, together with a higher than average percentage of people using public transport to get to work. Geographically, this supergroup is mostly in large metropolitan areas, particularly those with a significant ethnic population and public transport system. It is particularly obvious in large cities such as London, Manchester and Birmingham and other cities with multicultural populations. In the very large cities where the top jobs supergroup is present, the metro suburbs supergroup is generally found in a ring outside of these top jobs, but is located inside supergroup four (suburban services). In areas which do not have a core of top jobs, the metro suburbs are often found just outside the retail centre of the city, but still inside the suburban services."
Supergroup	4	Suburban services	#838383	4	40	"This supergroup is characterised by slightly higher than average white ethnicity, high percentages working from home/no fixed place of work, slightly higher than average Education, Health/social work, Construction and utilities and a low proportion of people travelling more than 20km. It is fairly low density, being characterised by a higher than average proportion of OA of mergers. It is the largest supergroup by number of WZs and is mostly found outside of the metro suburbs and across lower-density urban areas such as the South Wales valleys."
Supergroup	5	Manufacturing and distribution	#8A6F3D	5	50	"The manufacturing, transport and distribution supergroup is characterised by a slightly lower than average OA:WZ ratio, low percentage of female workers, low percentage high qualifications, high percentage low qualifications, high employees, low part-time, high manufacturing, Energy/utilities, transport and storage, lower status working, low on working from home and no fixed place of work, slightly high on >20km."
Supergroup	6	Rural	#32BE55	6	60	"The Rural supergroup is characterised by a higher than average percentages of older, white, workers who are self-employed (both with and without employees), who work from home or have no fixed place of work. Workplace population density is low. Workers are primarily engaged in Agric/forest/fish, and, to a lesser extent, other sectors such as Mining/quarrying, Manufac, Utilities, Construction and Education. This supergroup is the largest in terms of number of WZs and is found in rural and outer suburban areas throughout England and Wales."
Supergroup	7	Servants of society	#FB333D	7	70	"The Servants of Society cluster is characterised by higher than average density, females and young females. It is just below average on non-White and European groups and just above for White. Level 4 qualifications are high, as are employees, while self-employment of any type is low. Both extremes of working hours are low, with part time 16-30 just on the average. The only industrial sectors above average are public administration and defence, education and health. Higher managerial jobs are a little above average, but lower managerial and intermediate status more so. Both extremes of travel distance are above average but working from home and without a fixed place of work are well below. In summary, these tend to be higher status, well-qualified employees in large public service organizations with good female representation in the workforce. They include hospitals, schools and colleges, prisons and government offices and are widely spread nationally, although somewhat clustered in the major service centres."
Group	1a	Low density retail and wholesale	#FFEEBB	100	11	"A workforce characterised by above-average levels of White British ethnicity, employees and students, with particularly high levels of part-time working and employment in wholesale and retail trades, semi-routine occupations and short travel to work distances. This group is widely dispersed nationally but is found primarily on urban fringes."
Group	1b	Market squares	#F8E0A0	101	12	"This group has a mainly White British workforce with high levels of female participation, self-employment, both with and without employees, students, part-time working. The presence of retail and wholesale is equalled by accommodation and food services and exceeded by financial and insurance activities. Travel to work distances are short and percentages travelling on foot or by bicycle are high. There are very low levels of working from home or at no fixed location. The group is very widely dispersed and found primarily in smaller towns."
Group	1c	Multicultural urban high streets	#F2CE81	102	13	"This group has high levels of female participaton in a generally younger workforce with high percentages of Black and Asian ethnicities, students and parttime working. Accommodation and food services, financial and insurance activities occur with retail and wholesale as the dominant industries. Distances travelled are low and there is high use of public transport as well as travelling on foot or bicycle. These retail centres are generally found in larger cities and in outer centres of the major conurbations."
Group	1d	Traditional high streets 	#EBBC67	103	14	"Very high female participation in workforce, which is generally young and White. High percentages of students, part-time working and with accommodation and food services, financial and insurance activities occuring alongside retail and wholesale. Widely dispersed nationally."
Group	1e	Shop until you drop	#E1A64F	104	15	"High female participation in the workforce, which is young and with above average levels of Black and Asian ethnicities. Very high representation of students and part-time working. Retail and wholesale exceeds all other activities. Travel to work distances are short and percentages travelling on foot or by bicycle are high. This group includes major national and regional retail centres, including large purpose-built out of town and in-town developments."
Group	1f	"Eat, drink, shop and be merry"	#DF983C	105	16	"Accommodation and food services, arts entertainment and recreation industries exceed retail and wholesale as a proportion of the workforce. European workers are present to an above-average level and there are many students and high levels of part-time working. Travel to work distances are short and percentages travelling on foot or by bicycle are high. There are very low levels of working from home or at no fixed location. The smallest group in terms of WZ numbers, but widespread geographically and covering a wide range of locations including coastal locations and other tourist destinations."
Group	2a	Global business	#C8ECFF	106	21	"This group is characterised by concentration in ICT, finance and insurance, professional, scientific and technical activities. The workforce has above average levels of Black, Asian and European ethnicities and high percentages of Level 4 qualifications. It is dominated by the highest status managerial, administrative and professional occupations, with very high percentages travelling more than 20km to work by public transport. It occurs almost exclusively in London, where it is widespread in the City of London and Docklands, with only a very few WZs in the centres of other metropolitan cities."
Group	2b	Administrative centres	#93BDE0	107	22	"While the demographic, occupational status and travel to work characteristics of this group are very similar to the high status city commuters, these areas are marked by a very different industrial structure, with public administration and defence being the largest activity. This group is found only in the centres of large cities, but is less concentrated in London than the high status city commuters."
Group	2c	Big city life	#6992C0	108	23	"The workforce has a high proportion of non-British workers, with above-average levels of female participation. Activity is spread across a range of industries with accommodation and food services in the largest proportion but also ICT, financial and insurance activities and other professional services. Many travel more than 20km to work by public transport. This group is found exlusively close to the centres of the largest metropolitan areas and includes much of London's entertainment districts."
Group	2d	Regional business centres	#4E6EA6	109	24	"This group is dominated by financial and insurance activities, together with other professional services and high status occupations dominate. The workforce includes many females and is moderately multicultural. There is a high percentage with Level 4 qualifications and most workers are employees. Travel to work distances are high, as is public transport use. This group is remarkably absent from Central London and is rather found in the business quarters of many regional cities."
Group	2e	Science and business parks	#3C528C	110	25	"This group comprises a number of individual sites with a highly qualified multiethnic workforce concentrated particularly in ICT and professional, scientific and technical activities. The geographical distribution is wide, although it is clustered in and around urban Britain and generally close to major transportation corridors. Percentages travelling more than 20km are very high and public transport use is above average."
Group	3a	Metro suburban distribution	#EBC4FF	111	31	"Above average Black and Asian ethnicities and post-2001 EU accession countries in a workforce which is average in very many dimensions but in which transport and storage is the most prominent industry, wholesale and retail, accommodation and food services are also above average. Scattered across outer suburban areas of major metropolitan centres."
Group	3b	Cosmopolitan metro suburban mix	#B67ED6	112	32	"Above average Black and Asian ethnicities and post-2001 EU accession countries in a workforce in which construction, transport and storage, ICT are all above average as is self-employment without employees. Strongly marked by working from home or at no fixed place. Occurring in quite dense bands around the outer edges of multicultural urban areas and forming distinctive concentric rings around cities such as London, Birmingham and Leicester."
Group	3c	Independent professional metro services	#8D51AF	113	33	"A multicultural workforce in which Black, Asian and European groups are all above average, as is self-employment. ICT, financial and insurance activitie and professional services are all above the average, as are higher status occupations. Working from home or no fixed place and travel by public transport are all high. A very concentrated geographical distribution limited to espeically inner suburban areas of London and a few major cities but entirely absent elsewhere."
Group	3d	Suburban metro infrastructure	#6E378C	114	34	"A multicultural workforce with above average levels of employment in education, health and social work activities and with lower managerial, adminstrative and technical occupations slightly above average. Widely dispersed in the suburban areas of major multicultural cities but entirely absent elsewhere."
Group	4a	Non-metropolitan suburban areas	#E2E2E2	115	41	"Mostly White suburban areas with employment across a range of industries but with local services such as education, health and public administration all above average. Above average female participation in the workforce, mainly lowest status occupations, low long-distance commuting and high percentages travelling under 5km, working from home or no fixed place. Widespread suburban distribution, but mostly away from the larger metropolitan centres."
Group	4b	Primarily residential suburbs	#727272	116	42	"Mostly White suburban areas with above average levels of self-employment without employees, ranging across many industries with energy, utilities, construction, ICT and education all above average. Very little commuting over 20km but very high levels of working from home or no fixed place. Widely dispersed geographical distribution, but mostly on the edges of larger urban areas."
Group	5a	Mining and quarrying facilities	#DCCCAB	117	51	"A workforce with low female participation, high percentage of White British and employees, greatly above average in mining and quarrying, manufacturing and energy and utilities, transport and storage. Lower supervisory, technical and routine occupations are all above average. Working from home or no fixed place are well below average. Widely dispersed geographically but mainly away from urban centres, some concentration around ports."
Group	5b	Industrial units	#C0A578	118	52	"A multiethnic workforce with low female participation, with high proportions of no qualfications, employees. Industrial structure dominated by manufacturing and transport and storage and lower status, especially routine occupations. Found in industrial areas on the outer edges of larger cities"
Group	5c	Business parks	#A58954	119	53	"Workforce comprising mostly employees with below average females and part-time working, dominated by manufacturing and energy industries but ICT also above average. Covering broad spectrum of occupational statuses from higher managerial to routine. Greatly above average travelling more than 20km to work but low working from home or no fixed place. Widely dispersed nationally."
Group	5d	"Manufacturing, energy and utilities"	#8C703D	120	54	"Below average female participation, above average post-2001 EU workforce, employees. Industrial structure dominated by manufacturing and energy with transport and storage. Above average lower status occupations with both high over 20km and under 5km travel to work. Extremely widely dispersed and often away from major urban areas."
Group	6a	Rural with core services	#DAFFC7	121	61	"Low female participation in a workforce which is older, mostly White and dominated by agriculture, forestry and fishing activities but where education and health are also above average, as is working from home. These are very widespread but tend to be found in rural service centres rather than in the most remote areas."
Group	6b	Rural with non-local workers	#9FDA83	122	62	"Low female participation in a workforce which is older, mostly White and dominated by agriculture, forestry and fishing activities but with manufacturing and energy and utilities industries also present. Above average working from home. Widespread but not usually in the most remote rural areas."
Group	6c	Rural with mining or quarrying	#73B357	123	63	"Low female participation in a workforce which is older, mostly White and dominated by agriculture, forestry and fishing activities but in combination with mining and quarrying activities as well as energy and construction. Above average working from home or no fixed place. Widespread and low density, often in remote areas."
Group	6d	Traditional countryside	#56903C	124	64	"In many way the most extreme rural profile, with above average White, elderly workforce, self-employment and working from home. Industrial structure dominated by agriculture, forestry and fishing, with some energy and construction. Geographically extensive and widely dispersed, covering many of the most remote rural areas."
Group	7a	Large scale education	#FEC5C7	125	71	"This group has a distinct profile with high female participation in a highly qualified workforce which is massively dominated by education. Lower managerial, administrative and professional occupations are pre-eminent. The geographical distribution is very widespread, reflecting not only the presence of universities but also of large schools and colleges within communities."
Group	7b	Public administration	#D48083	126	72	"This group comprises a very White British workforce with high levels of female participation and most workers being employees. The industrial structure is dominated by public administration and defence, compulsory social security with intermediate occupations most in evidence. Commutes of both under 5km and over 20km are above average but, unsurprisingly, there is very little working from home. This group covers a range of large public sector employers among which prisons and various types of government offices are evident. It is widely dispersed nationally."
Group	7c	Major hospitals	#AD5457	127	73	"The proportion of females in this workforce is far above average, as are Black and Asian ethnicities. High percentages of Level 4 qualifications and employees as a proportion of the workforce, with above average part-time working. The industrial structure is dominated by human health and social work, with a secondary peak in public administration. A range of higher to intermediate status occupations are above average, with both long and short commuting but very low working from home. This group is concentrated on major hospitals and is widely spread geographically."
Group	7d	Highly qualified workforces and professional services 	#8B3A3C	128	74	"This group is characterised by a mixture of financial and insurance activities, professional services and public administration. The workforce has above-average female participation, is highly qualified and dominated by employees. A range of higher to intermediate status occupations are above average, with both long and short commuting but very low working from home. The geographical spread is nationwide, but concentrated in large service centres."
