Workplace Zone Code,Supergroup Code,Supergroup Name,Group Code,Group Name
E33000001,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000002,G,Servants of society,G3,Large scale education
E33000003,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000004,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000005,G,Servants of society,G1,Public administration and security
E33000006,A,Retail,A4,Traditional high streets
E33000007,G,Servants of society,G1,Public administration and security
E33000008,G,Servants of society,G1,Public administration and security
E33000009,G,Servants of society,G2,Healthcare and public administration
E33000010,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000011,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000012,A,Retail,A2,Market squares
E33000013,G,Servants of society,G3,Large scale education
E33000014,E,Manufacturing and distribution,E3,Business parks
E33000015,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000016,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000017,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000018,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000019,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000020,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000021,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000022,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000023,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000024,F,Rural,F3,Rural with mining or quarrying
E33000025,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000026,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000027,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000028,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000029,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000030,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000031,G,Servants of society,G1,Public administration and security
E33000032,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000033,A,Retail,A1,Low density wholesale and retail
E33000034,F,Rural,F3,Rural with mining or quarrying
E33000035,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000036,E,Manufacturing and distribution,E2,Industrial units
E33000037,E,Manufacturing and distribution,E3,Business parks
E33000038,G,Servants of society,G3,Large scale education
E33000039,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000040,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000041,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000042,E,Manufacturing and distribution,E3,Business parks
E33000043,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000044,E,Manufacturing and distribution,E3,Business parks
E33000045,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000046,G,Servants of society,G1,Public administration and security
E33000047,E,Manufacturing and distribution,E3,Business parks
E33000048,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000049,E,Manufacturing and distribution,E3,Business parks
E33000050,G,Servants of society,G1,Public administration and security
E33000051,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000052,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000053,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000054,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000055,G,Servants of society,G1,Public administration and security
E33000056,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000057,G,Servants of society,G1,Public administration and security
E33000058,E,Manufacturing and distribution,E3,Business parks
E33000059,G,Servants of society,G1,Public administration and security
E33000060,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000061,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000062,B,City and business parks,B4,Regional business centres
E33000063,A,Retail,A5,Shop until you drop
E33000064,A,Retail,A2,Market squares
E33000065,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000066,E,Manufacturing and distribution,E3,Business parks
E33000067,E,Manufacturing and distribution,E3,Business parks
E33000068,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000069,G,Servants of society,G1,Public administration and security
E33000070,A,Retail,A1,Low density wholesale and retail
E33000071,G,Servants of society,G1,Public administration and security
E33000072,E,Manufacturing and distribution,E3,Business parks
E33000073,G,Servants of society,G2,Healthcare and public administration
E33000074,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000075,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000076,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000077,G,Servants of society,G1,Public administration and security
E33000078,G,Servants of society,G1,Public administration and security
E33000079,G,Servants of society,G1,Public administration and security
E33000080,G,Servants of society,G2,Healthcare and public administration
E33000081,G,Servants of society,G1,Public administration and security
E33000082,G,Servants of society,G1,Public administration and security
E33000083,G,Servants of society,G2,Healthcare and public administration
E33000084,G,Servants of society,G1,Public administration and security
E33000085,B,City and business parks,B5,Science and business parks
