"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"5,299,900",,"60,365","57,682","59,379","59,234","56,926","55,769","55,429","54,406","52,686","52,610","54,673","56,125","58,327","59,523","61,618","61,351","61,972","63,983","66,503","73,022","75,298","72,740","72,567","73,748","71,227","70,658","69,901","67,576","68,651","69,563","69,237","67,851","65,690","61,116","59,892","63,532","64,101","65,333","69,274","73,861","76,830","76,006","78,902","80,567","81,359","80,824","83,684","82,822","82,600","80,839","78,927","76,317","75,902","74,011","72,160","70,059","67,109","66,477","65,258","63,021","64,020","64,169","66,134","68,143","73,997","56,210","53,253","54,249","52,419","48,282","44,833","45,742","44,742","43,605","41,445","39,876","38,103","35,407","33,215","32,543","30,248","27,468","25,190","22,178","20,312","18,642","16,140","14,326","11,959","10,808","35,169"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,882,,13,13,12,12,14,7,9,6,6,6,2,7,2,4,17,3,6,5,9,10,8,12,9,7,16,12,17,18,18,18,15,11,13,15,8,14,12,15,16,17,12,15,15,11,11,15,15,17,15,10,14,13,13,20,13,12,16,13,10,13,9,5,10,11,13,7,9,11,8,9,2,5,6,9,5,4,4,2,7,5,2,4,4,5,5,2,4,1,1,2,4
S01006507,,833,,8,6,4,11,6,9,5,7,8,4,10,11,14,6,14,12,13,16,5,13,10,10,8,8,3,5,6,6,8,8,5,11,11,9,8,8,10,7,10,13,13,8,9,16,13,12,16,12,9,18,7,8,20,7,12,11,21,10,9,14,17,12,17,19,23,14,9,11,10,8,9,9,7,13,6,6,6,8,5,8,3,2,4,5,2,4,0,2,0,2,1
S01006508,,629,,11,6,8,4,5,5,6,8,3,4,5,7,3,3,6,5,4,3,4,3,8,4,5,18,10,13,7,12,12,5,15,17,17,6,17,6,11,9,11,18,7,8,10,8,10,16,12,12,14,12,15,8,10,7,12,10,6,9,15,10,7,8,6,9,7,6,4,5,2,5,4,0,3,1,3,4,0,2,5,1,1,1,2,1,1,0,2,1,1,1,1
S01006509,,573,,2,6,7,4,7,10,4,8,8,8,6,6,6,5,4,4,2,4,5,6,3,3,8,5,8,4,4,7,6,9,4,11,5,11,12,11,7,7,8,13,11,8,8,3,9,9,7,9,8,7,5,8,7,5,8,11,8,5,7,13,7,15,8,10,14,1,4,6,6,6,4,6,5,4,3,5,1,7,4,5,5,3,9,6,4,0,3,0,0,2,6
S01006510,,631,,3,4,5,7,6,4,3,4,4,4,7,11,8,7,9,4,4,8,11,9,9,4,5,3,10,4,5,6,7,3,10,5,7,2,1,10,5,7,8,8,7,8,6,12,10,13,12,8,14,9,7,15,10,11,6,14,5,6,10,7,11,4,9,2,6,5,8,5,13,6,7,7,9,10,7,2,6,3,5,6,4,10,3,2,4,6,6,3,8,6,17
S01006511,,755,,1,6,7,3,6,5,7,2,10,8,10,8,8,8,18,9,14,17,9,14,4,5,7,6,8,5,4,4,3,5,0,7,1,6,2,6,7,6,6,11,12,6,9,10,14,12,13,17,13,15,9,7,13,16,15,18,7,10,12,9,8,10,10,9,17,12,14,14,9,4,10,15,13,8,7,15,7,7,10,3,6,6,5,4,3,4,5,6,1,1,2
S01006512,,524,,6,3,4,13,9,4,15,9,10,9,15,14,9,17,10,9,21,8,8,2,2,3,5,0,2,0,0,1,0,1,2,3,1,7,6,4,8,10,5,13,11,13,6,5,10,14,14,10,14,10,10,3,8,9,5,7,4,5,10,14,4,4,4,8,5,3,7,5,1,2,3,1,3,3,3,3,1,2,1,2,3,2,1,1,1,1,0,0,0,0,0
S01006513,,662,,4,7,3,6,7,4,5,5,7,7,14,8,11,14,9,8,14,9,3,4,0,4,6,4,3,5,3,0,4,2,4,1,9,5,4,4,6,6,2,5,8,6,16,10,8,8,17,13,19,9,5,11,9,6,7,12,10,5,4,13,9,9,10,4,6,4,4,11,8,7,14,10,8,10,10,8,9,11,8,6,4,5,9,6,6,6,5,10,2,4,17
