"LAD11NM","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Aberdeen City",81036,83128,82383,83948,85468,86779,88743,90544,90733,90971,91481,93034,95162,96298,94683,94296,94027,94159
"Aberdeenshire",105654,110447,113925,118692,122965,125365,129051,132162,133278,134617,136209,138523,141428,144493,144285,144335,144720,144750
"Adur",26257,26889,27295,27931,28500,28473,28777,28860,29005,29135,29144,29430,29840,30175,30460,30825,30901,31008
"Allerdale",41471,42948,43821,45042,45933,45992,46498,46773,46975,47146,47226,47510,48207,49314,49731,50343,50649,50890
"Amber Valley",53525,55287,56005,57897,59406,59426,59983,60720,61127,61208,61810,62540,63472,64454,65341,66819,67872,68433
"Angus",46247,47706,48930,50541,52236,52859,53868,54635,54912,54928,55204,55709,56477,57413,58100,58549,59051,59165
"Argyll and Bute",35361,36549,37539,39054,40051,40274,40687,40969,41003,40850,40868,40934,41142,41407,41781,42134,42295,42452
"Arun",79398,80315,78008,73897,74528,75157,75696,75945,76077,76724,77172,78032,79108,80902,83009,85036,86495,87032
"Ashfield",44952,46220,47390,48999,50218,50476,51337,51980,52221,52542,52916,53628,54811,56169,57070,58557,59438,60241
"Ashford",49357,50957,52706,54758,56250,56993,57894,58766,59679,60202,60868,61875,63109,64271,65745,67349,68640,69687
"Aylesbury Vale",79400,81645,83648,86171,88093,88665,89957,91151,92327,93722,94857,96706,98814,101230,103741,106514,107884,109380
"Babergh",42780,44435,45285,46232,47130,47194,47959,48235,48281,48561,49091,49409,49825,51011,51837,52773,53399,53968
"Barking and Dagenham",49271,50316,50816,52516,53331,53683,54308,55286,55280,55606,55795,56089,57071,58812,61481,62890,63069,63928
"Barnet",123110,124770,126325,129177,131185,131125,132654,134039,133957,135538,135950,136313,136314,137839,140138,142114,142315,142151
"Barnsley",82603,86369,87971,93265,95637,95672,97118,98434,98751,99176,99421,100218,101936,104546,106563,109008,111134,112784
"Barrow-in-Furness",24812,25483,25958,27211,27842,27811,28103,28376,28336,28155,28034,28125,28360,28837,29285,29687,29736,29847
"Basildon",75456,76149,76706,78453,79367,79594,80115,80726,80857,81113,81561,82775,84490,86491,88153,89567,90192,90960
"Basingstoke and Deane",75174,76985,78020,80258,82275,82810,84072,85328,86579,88118,89455,90732,92077,94052,95047,96247,97065,97916
"Bassetlaw",47207,48873,49970,51498,52954,53093,53997,54810,54799,54793,55092,55497,56032,57367,57996,59178,59867,60629
"Bath and North East Somerset",73480,75752,76335,77931,81819,85424,94212,95210,92551,86791,87088,84620,84179,86784,89254,90853,92238,94176
"Bedford",65199,66728,68322,70273,72081,72158,80702,80874,85059,86180,85304,85642,86058,91715,101905,113362,117522,105556
"Bexley",91323,93411,94953,96530,98600,98263,98952,99675,99972,99992,99322,99956,101087,103102,104314,105715,105907,105496
"Birmingham",476403,505734,507584,562687,538969,487463,492671,497455,511062,550400,578186,551196,548556,567560,592928,627490,658796,657450
"Blaby",44712,46127,46759,47873,49036,48934,49678,49919,50380,50810,51071,51608,52121,53737,56469,54932,55660,56394
"Blackburn with Darwen",47367,50014,51452,53118,54639,55422,56837,57841,57885,57132,55348,54234,54216,55260,56175,57139,58093,58861
"Blackpool",50585,52352,53320,54705,55629,55003,55404,55428,55261,54790,54208,53933,54015,54659,55335,55915,56310,56567
"Blaenau Gwent",24952,26268,27056,28126,28945,29139,29696,29992,29899,29834,29812,30164,30680,31183,31730,32259,32665,33238
"Bolsover",29476,30534,31310,32856,33882,34073,34332,34685,34933,35128,35373,35926,36527,37497,38091,39083,39768,40426
"Bolton",99322,102091,104024,107528,110334,111041,112073,113744,114160,114403,112260,112043,113198,114803,116654,119217,120577,122215
"Boston",25677,26687,27342,28466,29305,29707,30232,30422,30721,30989,31277,31508,31751,32266,32894,33719,34406,34929
"Bournemouth",70722,72530,73500,74909,75790,76077,77489,77958,78532,79159,79197,79627,80556,82186,83752,85585,86191,86526
"Bracknell Forest",67213,68015,68166,71113,70547,70796,66254,69997,80004,85304,78919,78562,81600,80138,81811,81685,82098,82884
"Bradford",160914,166532,170151,176976,181847,181844,184427,187306,187912,186423,184760,183833,185106,188797,192375,195256,198559,202180
"Braintree",64962,66916,68082,70444,72386,72835,73888,74705,75441,76218,77084,77786,78638,80180,81500,82890,83560,84122
"Breckland",57460,59464,60795,62791,65598,66165,67340,67289,68078,69148,70270,71367,71818,73606,75542,77239,78150,78798
"Brent",83055,84598,84958,86979,88128,88137,88935,89441,88749,88985,87932,87354,87309,88793,91284,93166,92489,92066
