"","LSOA11","bA_DI_2018","bA_PT_2018","bA_HE_2018","bA_OT_2018","bA_ED_2018","bB_DI_2018","bB_PT_2018","bB_HE_2018","bB_OT_2018","bB_ED_2018","bC_DI_2018","bC_PT_2018","bC_HE_2018","bC_OT_2018","bC_ED_2018","bD_DI_2018","bD_PT_2018","bD_HE_2018","bD_OT_2018","bD_ED_2018","bE_DI_2018","bE_PT_2018","bE_HE_2018","bE_OT_2018","bE_ED_2018","bF_DI_2018","bF_PT_2018","bF_HE_2018","bF_OT_2018","bF_ED_2018","bG_DI_2018","bG_PT_2018","bG_HE_2018","bG_OT_2018","bG_ED_2018","bH_DI_2018","bH_PT_2018","bH_HE_2018","bH_OT_2018","bH_ED_2018","bI_DI_2018","bI_PT_2018","bI_HE_2018","bI_OT_2018","bI_ED_2018","bJ_DI_2018","bJ_PT_2018","bJ_HE_2018","bJ_OT_2018","bJ_ED_2018","bK_DI_2018","bK_PT_2018","bK_HE_2018","bK_OT_2018","bK_ED_2018","bL_DI_2018","bL_PT_2018","bL_HE_2018","bL_OT_2018","bL_ED_2018","bM_DI_2018","bM_PT_2018","bM_HE_2018","bM_OT_2018","bM_ED_2018","Unknown_DI_2018","Unknown_PT_2018","Unknown_HE_2018","Unknown_OT_2018","Unknown_ED_2018","AllCars_DI_2018","AllCars_PT_2018","AllCars_HE_2018","AllCars_OT_2018","AllCars_ED_2018","AvgCO2_DI_2018","AvgCO2_PT_2018","AvgCO2_HE_2018","AvgCO2_OT_2018","AvgCO2_ED_2018","AvgAge_DI_2018","AvgAge_PT_2018","AvgAge_HE_2018","AvgAge_OT_2018","AvgAge_ED_2018"
"1","E01030319",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,3,0,0,12,18,4,0,0,22,46,5,0,1,84,177,0,0,0,99,141,0,0,0,56,89,0,0,0,45,63,1,0,0,31,59,0,0,0,13,22,0,0,0,9,29,0,0,0,3,56,0,1,0,374,701,17,1,1,152.463611859838,154.548837209302,93.0588235294118,NA,110,6.561624,8.809138,5.107057,24.229979,4.668035
"2","E01030318",0,0,0,4,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,8,12,4,0,1,13,50,5,0,0,40,95,4,0,0,58,117,5,0,0,57,92,0,0,0,43,48,1,0,0,41,65,4,0,0,19,26,0,0,0,5,77,0,0,0,2,61,0,0,0,286,643,36,4,1,163.964788732394,175.725085910653,101.888888888889,0,99,5.865366,9.656821,4.514487,2.236823,4.344969
"3","E01030331",0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,4,0,2,0,0,8,30,6,0,0,13,59,1,0,0,57,119,0,0,0,58,159,0,0,0,42,89,0,0,0,22,73,0,0,0,28,49,1,0,0,4,16,0,0,0,2,16,0,0,0,4,63,0,1,0,242,673,15,3,0,149.613445378151,150.83606557377,84.4,0,NA,8.221969,10.173942,4.508509,8.563996,NA
"4","E01030333",0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,8,19,3,0,0,23,38,1,0,1,41,130,2,0,0,59,122,0,0,0,29,83,0,0,0,15,65,0,0,0,17,45,1,0,0,7,20,0,0,0,4,7,0,1,0,6,53,1,1,0,211,582,13,4,1,147.336585365854,150.829867674858,85.9166666666667,103.333333333333,104,8.121722,10.097679,6.537565,11.24709,2.247775
"5","E01030330",0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,5,0,4,0,0,14,22,4,0,0,17,49,3,0,0,66,114,0,0,0,62,152,0,0,0,38,92,0,0,0,37,60,0,0,0,10,55,0,0,0,5,21,0,0,0,5,15,0,0,0,3,57,0,1,0,262,637,14,2,0,145.6138996139,153.391379310345,84.3571428571429,0,NA,7.964554,10.342859,4.932433,13.685146,NA
"6","E01030335",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,6,19,2,0,0,29,38,3,0,0,57,101,1,0,0,61,175,0,0,0,43,102,0,0,0,18,59,0,0,0,23,40,0,0,0,7,20,0,0,0,5,13,0,0,0,4,46,0,1,0,254,613,9,2,0,148.848,153.144620811287,89.2222222222222,0,NA,8.445891,10.029792,5.832534,9.839835,NA
"7","E01030332",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,8,22,4,0,0,19,44,4,0,0,54,92,0,0,0,51,121,1,0,0,34,93,0,0,0,13,66,0,0,0,13,46,0,0,0,8,21,0,0,0,2,9,0,0,0,5,48,0,0,0,207,562,15,0,0,145.594059405941,153.710116731518,91.0666666666667,NA,NA,8.373392,10.924087,6.132055,NA,NA
"8","E01030972",0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,7,28,5,0,0,24,30,3,0,0,89,119,1,0,0,73,163,0,0,0,47,113,0,0,0,29,62,0,0,0,24,57,2,0,0,5,12,0,0,0,5,9,0,0,0,7,63,0,0,0,311,656,16,2,0,147.292763157895,151.866779089376,101.5625,0,NA,8.237035,10.484507,6.061418,2.86516,NA
"9","E01002556",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,8,11,5,0,0,14,30,5,0,0,50,84,2,0,0,68,114,0,0,0,44,103,0,0,0,19,50,0,0,0,25,45,1,1,0,9,13,0,0,0,3,9,0,0,0,4,46,0,0,0,244,505,17,1,0,151.375,154.882352941176,98.8823529411765,192,NA,8.939544,11.190899,5.995208,14.080766,NA
"10","E01030349",0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,2,0,4,0,0,5,25,5,0,0,22,39,4,0,1,55,124,3,0,0,72,132,1,0,0,54,98,0,0,0,51,72,0,0,0,40,62,2,0,0,16,35,0,0,0,6,45,0,0,0,1,64,0,1,0,324,696,24,4,1,159.439628482972,164.912974683544,99.3333333333333,0,110,6.384735,9.759094,5.363221,6.494181,3.274469
"11","E01030348",0,0,0,10,0,0,0,4,0,0,0,0,3,0,0,2,1,1,0,0,13,17,7,0,0,22,40,2,0,0,52,115,4,0,0,73,129,1,0,0,59,90,0,0,0,44,44,0,0,0,22,55,4,0,0,20,27,0,0,0,5,57,0,0,0,4,76,0,2,0,316,651,26,12,0,155.237179487179,167.226086956522,105.269230769231,0,NA,6.345998,9.741221,5.191912,5.87999,NA
"12","E01030996",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,4,0,0,8,26,5,0,0,15,51,6,0,0,75,143,6,0,0,84,155,6,0,0,54,97,0,0,0,54,68,1,0,0,32,48,3,0,0,7,15,1,0,0,9,23,0,0,0,2,75,0,3,0,342,702,34,4,0,154.482352941176,152.389154704944,119.441176470588,0,NA,6.917243,10.467681,4.974593,15.568103,NA
"13","E01030747",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,13,20,6,0,0,32,24,2,0,2,95,98,0,0,0,91,133,1,0,0,62,84,0,0,0,35,50,0,0,0,23,39,0,0,0,5,17,0,1,0,7,17,0,1,0,11,58,0,1,0,377,540,12,4,2,145.549180327869,156.340248962656,90.9166666666667,200,105.5,8.413335,11.450798,4.885694,12.841204,3.750855
"14","E01030651",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,18,21,3,0,0,33,28,1,0,0,54,104,1,0,0,76,128,0,0,0,39,107,0,0,0,21,60,1,0,0,24,44,0,0,0,10,9,0,0,0,3,9,0,0,0,7,43,0,1,0,289,553,9,2,0,144.673758865248,152.078431372549,99.8888888888889,0,NA,7.707933,10.01944,6.115749,10.323066,NA
"15","E01003826",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,2,0,0,12,22,2,0,0,14,22,0,0,0,52,69,2,0,0,46,124,0,0,0,34,81,0,0,0,22,61,0,0,0,6,30,2,0,0,6,10,0,0,0,5,9,0,0,0,5,41,1,0,0,205,470,12,0,0,145.245,153.263403263403,103.454545454545,NA,NA,8.209284,10.364197,4.300665,NA,NA
"16","E01030648",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,17,24,3,0,0,26,47,0,0,0,67,126,0,0,0,77,170,0,0,0,42,100,0,0,0,18,65,0,0,0,18,40,1,0,0,7,14,0,0,0,6,19,0,0,0,4,65,0,1,0,284,670,9,3,0,144.232142857143,151.21652892562,95.1111111111111,0,NA,7.590211,10.691339,4.092478,7.77002,NA
"17","E01030649",0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,3,1,2,0,0,18,31,5,0,0,35,40,8,0,0,90,141,5,0,0,85,165,0,0,0,49,127,0,0,0,33,69,0,0,0,20,45,0,0,0,4,13,0,0,0,6,10,0,0,0,7,55,0,0,0,350,697,25,2,0,142.874635568513,149.190031152648,93.56,0,NA,7.322404,9.921422,5.970704,3.531827,NA
"18","E01030705",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,10,32,5,0,0,25,52,2,0,0,60,137,0,0,0,63,159,0,0,0,46,124,0,0,0,24,53,0,0,0,22,32,1,0,0,9,12,0,0,0,4,15,0,0,0,1,47,0,0,0,265,666,11,0,0,147.981060606061,147.376413570275,96.0909090909091,NA,NA,7.766083,9.805143,6.744819,NA,NA
"19","E01030702",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,6,13,5,0,0,13,24,0,0,1,36,80,41,0,0,45,108,0,0,0,28,71,0,0,0,13,44,0,0,0,9,31,0,0,0,4,11,0,0,0,6,5,0,0,0,1,38,2,0,0,165,425,52,0,1,148.591463414634,151.97157622739,110.24,NA,109,8.644688,10.654729,3.716632,NA,5.577002
"20","E01030680",0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,13,29,3,0,0,18,43,1,0,0,63,157,2,0,0,73,140,1,0,0,62,103,0,0,0,38,57,0,0,0,22,66,1,0,0,8,23,0,0,0,8,23,0,0,0,4,68,0,1,0,311,710,12,4,0,151.651465798046,154.358255451713,97.1666666666667,0,NA,7.573986,10.385326,4.588637,6.563996,NA
"21","E01030681",0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,2,0,3,0,0,15,29,2,0,0,33,47,4,0,0,70,126,2,0,0,67,157,0,0,0,65,117,0,0,0,18,57,0,0,0,25,44,2,0,0,7,20,0,0,0,8,29,0,0,0,5,62,0,1,0,315,688,17,2,0,147.277419354839,155.180511182109,97.7058823529412,0,NA,7.593719,10.27729,4.801062,12.198493,NA
"22","E01030477",0,0,0,5,0,0,0,4,0,0,0,0,2,0,0,1,0,6,0,0,14,22,2,0,0,26,44,5,0,0,73,114,2,0,0,90,166,1,0,0,64,91,0,0,0,34,78,0,0,0,25,65,2,0,0,15,25,0,0,0,9,20,0,0,0,12,91,0,0,0,363,716,24,5,0,151.339031339031,157.1536,96.0833333333333,0,NA,8.041475,11.816328,5.14887,3.998904,NA
"23","E01002608",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,5,0,0,12,20,6,0,0,19,24,3,0,1,61,74,1,0,0,45,111,1,0,0,32,93,0,0,0,21,69,0,0,0,17,30,1,0,0,8,12,0,0,0,3,9,0,0,0,8,37,0,0,0,230,479,19,1,1,145.783783783784,153.911764705882,98.7368421052632,0,110,8.932404,10.921349,7.016102,1.253935,4.013689
"24","E01002606",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,0,0,18,19,5,0,0,29,23,7,0,0,42,48,1,0,0,47,91,1,0,0,45,70,0,0,0,13,52,1,0,0,14,31,0,1,0,2,7,0,0,0,3,3,0,0,0,3,32,0,0,0,220,376,22,1,0,140.308755760369,152.235465116279,96.7272727272727,198,NA,7.643966,11.170722,7.098725,11.0308,NA
