"","R","P"
"DE",-0.608,0
"percNoCar",-0.585,0
"Social",-0.565,0
"IMD",-0.563,0
"hhnocar",-0.559,0
"Sick",-0.535,0
"Unemployed",-0.504,0
"Single",-0.444,0
"Terraced",-0.376,0
"denonbc",-0.329,0
"Flat",-0.325,0
"active",-0.321,0
"C2",-0.318,0
"NoCH",-0.27,0
"totalhh",-0.214,0
"Private",-0.192,0
"SupergroupCode",-0.186,0
"Young",-0.167,0
"Carers",-0.163,0
"pt",-0.085,0
"denoffrmt",-0.064,0
"Student",-0.059,0
"PartTime",-0.042,0
"Kids",-0.03,0
"denoffbc",-0.024,0
"Region",-0.008,0.18
"Reg",-0.008,0.18
"FullTime",-0.006,0.263
"carte",-0.003,0.612
"carttc",0.044,0
"SemiDetached",0.083,0
"LSOA11CD",0.084,0
"RU",0.14,0
"fp10",0.154,0
"ptttc",0.162,0
"RUC11CD",0.198,0
"fpLIHC",0.213,0
"ptte",0.217,0
"C1",0.227,0
"HHsize",0.25,0
"motor",0.28,0
"Retired",0.305,0
"hhwithcar",0.332,0
"NoKids",0.342,0
"Old",0.343,0
"Mortgage",0.348,0
"Age_Mean",0.378,0
"AvT2W",0.388,0
"Age_Med",0.416,0
"SupergroupName",0.418,0
"SGN",0.418,0
"totalcar",0.505,0
"Detached",0.589,0
"SelfEmployed",0.606,0
"Outright",0.619,0
"nrgHH",0.62,0
"Income",0.636,0
"home",0.649,0
"AB",0.661,0
"carsHH",0.663,0
"carsHHcar",0.689,0
"elecAv",0.776,0
"Rooms",0.777,0
"cluster",0.816,0
"all",0.934,0
"gasAv",0.99,0
"dom",1,NA
