"","LSOA11","DomMet_11","DomMet_17","MeanDomElec_11_kWh","MeanDomElec_17_kWh","TotDomElec_11_kWh","TotDomElec_17_kWh","GasMet_11","GasMet_17","MeanDomGas_11_kWh","MeanDomGas_17_kWh","TotDomGas_11_kWh","TotDomGas_17_kWh","cars_total","cars_miles","pu5k","p5_12k","po12k","age_av","miles_av_u3","miles_av_o13","pcars_diesel","pmiles_diesel","vans_total","vans_miles","pmiles_car","pmiles_vans","cars_percap","miles_percap","mean_house_age","pP1900","p1900_18","p1919_29","p1930_39","p1945_54","p1955_64","p1965_72","p1973_82","p1983_92","p1993_99","p2000_09","p2010_15","pUNKNOWN","People_.","Area_Hectares","PopDens","Males.","Females.","Live_HH.","Live_Comm.","Age_Mean","Age_Median","Age0to4.","Age5to7.","Age8to9.","Age10to14.","Age15.","Age16to17.","Age18to19.","Age20to24.","Age25to29.","Age30to44.","Age45to59.","Age60to64.","Age65to74.","Age75to84.","Age85to89.","Age90plus.","Unshared.","Shared2.","Shared3plus.","HHwithRes.","HHnoRes.","Whole_House_Detached.","Whole_House_Semi.","Whole_House_Terraced","Flat_PurposeBuilt.","Flat_Converted.","Flat_Commercial.","Caravan.","Outright.","Mortgage.","Shared.","Social_LA.","Social_Other.","Rented_Landlord.","Rented_Other.","RentFree.","NoCH","Occupancy_Rooms.","Occupancy_Bedrooms.","NoCarsHH","X1CarHH.","X2CarHH.","X3CarHH.","X4plusCarHH.","PartTime.","FullTime.","Self.Emp.","Unemployed.","FTStudent.","Retired.","Student_Inactive.","Carer.","Sick.","Inactive_Other.","Unemp_16to24.","Unemp_50to74.","Unemp_NeverWorked.","Unemp_LongTerm.","All_T2W.","T2W_Home.","T2W_Metro.","T2W_Train.","T2W_Bus.","T2W_Taxi.","T2W_Mbike.","T2W_Car.","T2W_Passenger.","T2W_Cycle.","T2W_Foot.","T2W_Other.","T2W_NoEmp.","All_Grade.","SocGrade_AB.","SocGrade_C1.","SocGrade_C2.","SocGrade_DE.","pHeating_None","pHeating_Gas","pHeating_Electric","pHeating_Other","Dwellings","Crr_EE","Ptn_EE","pop2011","pop2016","area_km","dense_2011","dense_2017","median_household_income","mean_household.size","mean_rooms","mean_bedrooms","RUC11","%All15_PT/walk1,3","area_group","area_supergroup","LSOA_Name"
"1","E01026997",721,963,5763,4685,4155476,4511274,644,933,22298,18437,14359906,17201937,976,7588943,0.331967213114754,0.501024590163934,0.167008196721311,7.98013094556838,9559.20610687023,8175.58810325477,0.309426229508197,0.412496180298099,94,1059075,0.788744902974502,0.110073301132677,1.43108504398827,11127.4824046921,1947.54861111111,18.92,1.35,2.7,6.76,10.81,9.46,13.51,2.7,4.05,18.92,6.76,1.35,4.05,1783,1129.09,1.579147809,46.2703309,53.7296691,95.34492428,4.655075715,45.1301177790241,47,4.65507571508693,3.08468872686483,2.07515423443634,6.50588895120583,0.785193494111049,2.69209197980931,1.73864273696018,4.9915872125631,2.69209197980931,16.8255748738082,22.6584408300617,7.68367919237241,10.4318564217611,8.30061693774537,3.19685922602356,1.68255748738082,99.8609179415855,0.139082058414465,0,94.7222222222222,5.27777777777778,59.1666666666667,25.6944444444444,10.1388888888889,3.75,0.138888888888889,1.11111111111111,0,44.574780058651,40.3225806451613,0.146627565982405,2.93255131964809,2.49266862170088,6.74486803519062,0.586510263929619,2.19941348973607,0.439882697947214,1.46627565982405,0.586510263929619,7.62463343108504,28.5923753665689,42.375366568915,15.2492668621701,6.158357771261,13.7570394207562,37.9726468222043,15.2855993563958,1.76991150442478,3.37892196299276,17.2164119066774,3.94207562349155,3.70072405470636,1.60901045856798,1.36765888978278,0.724054706355591,0.402252614641995,0.482703137570394,0.321802091713596,1243,7.56234915526951,0.160901045856798,1.85036202735318,0.563153660498793,0.080450522928399,0.402252614641995,51.6492357200322,3.53982300884956,0.80450522928399,3.13757039420756,0.321802091713596,29.9275945293644,458,0.395196506550218,0.358078602620087,0.14410480349345,0.102620087336245,0.44,83.87,6.01,3.81,370,65.2378378378378,74.8,1784,1769,11.2909,158.003347828782,169.428477800707,"53504",2.5,7.2,3.5,"Urban city and town",63.8386648122392,"2a Ageing rural neighbourhoods","2 Countryside living","Daventry 005A"
"2","E01016607",564,596,8286,7590,4673036,4523400,514,530,29702,30072,15267023,15938132,900,6459644,0.344444444444444,0.521111111111111,0.134444444444444,7.30736938170203,8032.02547770701,7468.52581032413,0.226666666666667,0.314881129672161,27,243571,0.945742292690576,0.0356606952291699,1.70132325141777,12211.0472589792,1962.14882032668,8.47,1.69,0.17,1.69,10.17,20.34,15.25,13.56,1.69,1.69,8.47,10.17,5.08,1765,151.69,11.63557255,38.92351275,61.07648725,81.47308782,18.52691218,36.5864022662889,38,3.45609065155807,3.34277620396601,2.03966005665722,14.8441926345609,3.62606232294618,9.46175637393768,2.88951841359773,3.56940509915014,2.71954674220963,12.0113314447592,21.5297450424929,7.36543909348442,7.36543909348442,4.64589235127479,0.84985835694051,0.28328611898017,99.8230088495575,0.176991150442478,0,93.4628975265018,6.53710247349823,76.3250883392226,8.30388692579505,5.65371024734982,2.65017667844523,6.00706713780919,1.06007067137809,0,47.069943289225,36.1058601134215,0,0,0.945179584120983,7.18336483931947,0.756143667296786,7.93950850661626,0.756143667296786,1.13421550094518,0.756143667296786,4.72589792060491,24.1965973534972,45.5576559546314,18.9035916824197,6.61625708884688,10.4995766299746,31.5834038950042,12.5317527519052,1.94750211685013,1.69348010160881,15.1566469093988,16.7654530059272,6.85859441151566,0.677392040643522,2.28619813717189,0.677392040643522,0.592718035563082,0.338696020321761,0.592718035563082,1181,8.72142252328535,0.254022015241321,5.6731583403895,0.508044030482642,0.169348010160881,0.0846740050804403,33.0228619813717,1.60880609652837,0.423370025402202,4.23370025402202,1.35478408128704,43.9458086367485,390,0.523076923076923,0.333333333333333,0.0897435897435897,0.0538461538461539,0.76,91.12,1.7,3.02,290,66.6724137931034,77.2,1764,1720,1.5169,1162.89801568989,1133.23224998352,"91555.5",2.7,8.5,4.1,"Urban city and town",100,"8a Affluent communities","8 Suburban living","Windsor and Maidenhead 018E"
"3","E01009671",393,411,8335,6608,3275601,2715803,417,427,29526,28875,12312246,12329450,757,5927305,0.313077939233818,0.527080581241744,0.159841479524439,6.71992636374897,9138.12195121951,8024.43793584379,0.284015852047556,0.371629264902009,79,596755,0.832614005147697,0.083826725744991,1.84634146341463,14456.8414634146,1987.47356051704,0.11,1.06,4.26,4.26,1.06,4.26,3.19,11.7,8.51,17.02,11.7,23.4,10.64,4248,265.91,15.97533,51.10640301,48.89359699,29.94350282,70.05649718,26.3757062146893,20,1.55367231638418,0.706214689265537,0.847457627118644,2.35404896421846,0.376647834274953,1.41242937853107,41.4312617702448,26.271186440678,4.66101694915254,5.97928436911488,7.3210922787194,1.6713747645951,2.96610169491525,1.57721280602637,0.659133709981168,0.211864406779661,100,0,0,96.0187353629977,3.98126463700234,77.5175644028103,8.89929742388759,5.85480093676815,6.79156908665105,0.702576112412178,0.234192037470726,0,43.1707317073171,40.4878048780488,2.19512195121951,0.48780487804878,0.975609756097561,9.51219512195122,2.19512195121951,0.975609756097561,0.24390243902439,1.70731707317073,1.70731707317073,4.8780487804878,22.6829268292683,46.5853658536585,18.0487804878049,7.80487804878049,3.08008213552361,8.70123203285421,4.62012320328542,0.872689938398357,11.4989733059548,3.41375770020534,66.2731006160164,0.898357289527721,0.359342915811088,0.282340862422998,0.205338809034908,0.179671457905544,0.0770020533880904,0.308008213552361,3896,2.23305954825462,0.179671457905544,1.02669404517454,1.10369609856263,0.0513347022587269,0.0256673511293635,12.6540041067762,1.02669404517454,0.385010266940452,5.72381930184805,0.256673511293634,75.3336755646817,307,0.54071661237785,0.283387622149837,0.0944625407166124,0.0814332247557003,0.24,91.71,2.93,1.46,291,72.4226804123711,80.9415807560137,4258,4857,2.6591,1601.29367079087,1756.23331202286,"73692",3.1,8.4,4.1,"Urban city and town",77.2819472616633,"1a Cosmopolitan student neighbourhoods","1 Cosmopolitan student neighbourhoods","Coventry 042C"
"4","E01014181",658,676,4940,4162,3250311,2813716,664,669,19595,18142,13010936,12136837,926,8800653,0.220302375809935,0.516198704103672,0.263498920086393,6.35933848084761,10226.4233128834,9670.55819209039,0.342332613390929,0.437052455084867,45,464707,0.934477395660333,0.0493438597232644,1.38830584707646,13194.3823088456,1998.91791044776,0,0,0,0,0,0,0,0,4.41,55.88,38.24,0,1.47,2003,119.24,16.79805434,50.92361458,49.07638542,100,0,33.1577633549675,36,5.99101347978033,5.3919121318023,3.19520718921618,9.88517224163754,1.59760359460809,3.6445332001997,2.49625561657514,5.3919121318023,4.89266100848727,24.9625561657514,24.0639041437843,4.19370943584623,3.09535696455317,1.04842735896156,0.0998502246630055,0.0499251123315027,100,0,0,98.2326951399116,1.76730486008837,81.4432989690722,4.56553755522828,11.6347569955817,2.06185567010309,0.294550810014728,0,0,22.1889055472264,62.3688155922039,0.149925037481259,0.299850074962519,0.749625187406297,13.4932533733133,0.449775112443778,0.299850074962519,0,0.449775112443778,0.899550224887556,2.24887556221889,27.5862068965517,53.0734632683658,13.0434782608696,4.047976011994,13.2463967055594,52.6424159231297,10.8442004118051,1.78448867536033,4.59849004804393,6.24571036376115,4.32395332875772,4.39258750857927,1.23541523678792,0.686341798215511,0.480439258750858,0.343170899107756,0.137268359643102,0.411805078929307,1457,5.49073438572409,0.137268359643102,1.85312285518188,1.16678105696637,0.274536719286205,0.137268359643102,62.3198352779684,5.14756348661634,0.892244337680165,2.74536719286205,0.0686341798215511,19.7666437886067,621,0.438003220611916,0.351046698872786,0.122383252818035,0.0885668276972625,0,95.5,2.1,0.75,410,65.3756097560976,79.5268292682927,1989,1964,1.1924,1668.06440791681,1595.10231465951,"64130.5",3,7.7,3.9,"Urban city and town",74.9063670411985,"8c Comfortable suburbia","8 Suburban living","Telford and Wrekin 015A"
"5","E01021609",538,538,5276,4938,2838430,2656908,528,528,17921,17626,9462485,9306547,768,6347557,0.25390625,0.565104166666667,0.180989583333333,6.97409023499886,8934.48739495798,8477.19553072626,0.25,0.331528491985184,31,384025,0.918383994349258,0.0555619135724144,1.49126213592233,12325.3533980583,1988.9155597723,0.19,0,0.19,0.19,0.19,0.19,0.19,5.56,68.52,14.81,7.41,0.19,0.19,1424,50.24,28.34394904,49.85955056,50.14044944,100,0,39.1397471910112,42,4.91573033707865,3.72191011235955,2.52808988764045,7.7247191011236,1.26404494382022,3.01966292134831,2.59831460674157,6.32022471910112,4.00280898876404,18.2584269662921,26.685393258427,7.7247191011236,5.61797752808989,4.56460674157303,0.912921348314607,0.140449438202247,100,0,0,99.4208494208494,0.579150579150579,75.6756756756757,9.84555984555985,13.7065637065637,0.772200772200772,0,0,0,38.6407766990291,54.3689320388349,0,0.194174757281553,0.388349514563107,5.04854368932039,0.970873786407767,0.388349514563107,0.58252427184466,0.970873786407767,0.970873786407767,3.88349514563107,33.3980582524272,43.1067961165049,13.5922330097087,6.01941747572816,16.2724692526017,43.8032166508988,12.0151371807001,3.12204351939451,3.3112582781457,11.352885525071,2.74361400189215,5.58183538315989,1.0406811731315,0.75685903500473,0.946073793755913,1.1352885525071,0.378429517502365,1.1352885525071,1057,6.71712393566698,0.473036896877956,12.6773888363292,0.851466414380322,0,0.567644276253548,44.8438978240303,2.83822138126774,0.662251655629139,5.10879848628193,0.473036896877956,24.7871333964049,417,0.345323741007194,0.405275779376499,0.136690647482014,0.112709832134293,0.58,94.76,0.58,1.75,222,64.5135135135135,77.1441441441441,1421,1348,0.5024,2828.42356687898,2609.47452229299,"68942.5",2.8,7.3,3.6,"Urban city and town",78.1021897810219,"8c Comfortable suburbia","8 Suburban living","Chelmsford 020E"
"6","E01017801",608,622,6515,6497,3961219,4041090,570,573,26351,26170,15019812,14995281,877,6541933,0.344355758266819,0.499429874572406,0.156214367160775,7.19888363119558,9149.68794326241,7746.92822384428,0.241733181299886,0.343936876149603,42,449723,0.924704114975455,0.0635684756629435,1.51206896551724,11279.1948275862,1965.67757774141,3.28,0.16,3.28,3.28,9.84,47.54,1.64,3.28,3.28,4.92,13.11,6.56,0.16,1624,316.43,5.132256739,48.15270936,51.84729064,100,0,38.6748768472906,41,7.20443349753695,4.49507389162562,2.89408866995074,8.3128078817734,1.47783251231527,3.26354679802956,1.60098522167488,4.37192118226601,3.32512315270936,18.4729064039409,24.3226600985222,4.67980295566502,8.00492610837438,6.2192118226601,1.10837438423645,0.246305418719212,100,0,0,97.972972972973,2.02702702702703,67.9054054054054,19.2567567567568,5.57432432432432,5.57432432432432,0.337837837837838,1.18243243243243,0.168918918918919,44.1379310344828,41.551724137931,0.172413793103448,0.344827586206897,3.10344827586207,8.96551724137931,0.344827586206897,1.37931034482759,0.689655172413793,1.20689655172414,1.55172413793103,3.96551724137931,28.448275862069,47.5862068965517,13.7931034482759,6.20689655172414,12.7601809954751,38.4615384615385,15.0226244343891,2.53393665158371,2.53393665158371,13.5746606334842,5.61085972850679,7.69230769230769,0.995475113122172,0.81447963800905,0.81447963800905,0.723981900452489,0.452488687782805,0.904977375565611,1105,9.32126696832579,0.81447963800905,8.5972850678733,0.723981900452489,0.271493212669683,0.180995475113122,42.4434389140272,2.35294117647059,0.452488687782806,3.07692307692308,0.361990950226244,31.4027149321267,421,0.570071258907364,0.26603325415677,0.0902612826603325,0.0736342042755344,0.69,89.48,2.41,2.76,337,66.3709198813056,77.8961424332344,1626,1716,3.1643,513.85772524729,550.832727617483,"76764",2.8,7.8,3.9,"Urban city and town",100,"8a Affluent communities","8 Suburban living","South Bucks 001F"
"7","E01030761",593,636,5329,4909,3160189,3122131,568,669,18422,17232,10463837,11528089,860,6228687,0.323255813953488,0.548837209302326,0.127906976744186,8.62308708593986,9508.28735632184,7728.51728723404,0.231395348837209,0.30959847556957,108,1048518,0.780725648822009,0.13142495293977,1.49565217391304,10832.4991304348,1958.70967741935,4.84,3.23,6.45,8.06,1.61,29.03,12.9,19.35,4.84,1.61,3.23,4.84,0.16,2072,263.24,7.871144203,62.83783784,37.16216216,74.56563707,25.43436293,39.7688223938224,40,3.33011583011583,3.42664092664093,2.26833976833977,5.06756756756757,1.11003861003861,1.97876447876448,1.93050193050193,9.07335907335907,7.33590733590734,23.4073359073359,21.3803088803089,5.64671814671815,7.19111969111969,5.01930501930502,1.20656370656371,0.627413127413127,100,0,0,99.1379310344828,0.862068965517241,58.448275862069,33.6206896551724,5,2.24137931034483,0.689655172413793,0,0,42.6086956521739,48.8695652173913,0.347826086956522,0.695652173913043,2.60869565217391,4.17391304347826,0.173913043478261,0.521739130434783,0.869565217391304,2.26086956521739,2.26086956521739,7.47826086956522,32.3478260869565,38.9565217391304,13.5652173913043,7.65217391304348,15.3560371517028,32.3219814241486,11.2074303405573,1.85758513931889,3.09597523219814,9.96904024767802,2.97213622291022,2.6625386996904,2.1671826625387,18.390092879257,0.309597523219814,0.495356037151703,0.309597523219814,1.05263157894737,1615,4.58204334365325,0.0619195046439629,3.96284829721362,0.86687306501548,0.0619195046439629,0.371517027863777,36.9040247678019,2.47678018575851,0.743034055727554,10.7739938080495,0.804953560371517,38.390092879257,395,0.384810126582279,0.321518987341772,0.2,0.0936708860759494,0.87,90.78,1.74,2.78,271,64.9520295202952,79.8708487084871,2072,2120,2.6324,787.114420300866,774.578331560553,"52232",2.7,6.8,3.4,"Urban major conurbation",78.7682333873582,"8a Affluent communities","8 Suburban living","Surrey Heath 006A"
"8","E01028510",693,694,4881,4558,3382538,3163470,649,661,17809,16761,11557859,11079326,865,6825920,0.272832369942197,0.576878612716763,0.15028901734104,7.70261243189992,9056.1796875,8207.36010362694,0.289017341040462,0.368433998640476,120,1464433,0.778106609378381,0.166935006019967,1.36006289308176,10732.5786163522,1962.26725403818,4.35,0.14,1.45,17.39,4.35,18.84,14.49,14.49,5.8,7.25,8.7,1.45,1.45,1599,371.65,4.302435087,50.2188868,49.7811132,97.123202,2.876797999,42.8774233896185,45,4.81550969355847,3.00187617260788,2.00125078173859,7.06691682301438,0.687929956222639,2.68918073796123,2.25140712945591,4.94058786741714,3.75234521575985,17.6360225140713,23.9524702939337,7.5046904315197,9.56848030018762,7.69230769230769,1.87617260787993,0.562851782363977,100,0,0,93.9438700147711,6.05612998522895,55.3914327917282,33.8257016248154,5.61299852289513,1.92023633677991,3.10192023633678,0.147710487444609,0,46.0691823899371,41.5094339622642,0,0,2.0440251572327,7.86163522012579,1.10062893081761,1.41509433962264,0.786163522012579,1.88679245283019,1.10062893081761,4.71698113207547,39.622641509434,39.622641509434,12.5786163522013,3.45911949685535,16.4359861591695,41.1764705882353,12.2837370242215,2.24913494809689,2.42214532871972,14.9653979238754,3.46020761245675,2.59515570934256,1.64359861591695,2.7681660899654,1.03806228373702,0.346020761245675,0.432525951557093,0.346020761245675,1156,4.67128027681661,0.259515570934256,0.69204152249135,7.43944636678201,0,1.21107266435986,49.2214532871972,3.20069204152249,2.3356401384083,2.7681660899654,0.346020761245675,27.8546712802768,432,0.349537037037037,0.310185185185185,0.210648148148148,0.12962962962963,0.79,91.35,2.2,2.36,314,63.9490445859873,79.6146496815287,1604,1593,3.7165,431.588860487017,427.283734696623,"45239",2.4,6.4,3.2,"Urban city and town",78.6858974358974,"8a Affluent communities","8 Suburban living","Cherwell 019B"
"9","E01001422",607,635,9488,8657,5759259,5497486,535,566,34110,33142,18248900,18758207,999,6164488,0.457457457457458,0.454454454454455,0.0880880880880881,7.6139849637454,7663.50588235294,6632.08491620112,0.197197197197197,0.301681664397757,15,111919,0.96564750672289,0.0175317566203258,1.7871198568873,11027.7066189624,1950.625,8.2,8.2,1.64,14.75,8.2,26.23,8.2,3.28,3.28,3.28,11.48,1.64,0.16,1658,146.34,11.32977996,49.93968637,50.06031363,98.97466828,1.025331725,40.7786489746683,44,4.82509047044632,3.07599517490953,2.89505428226779,7.84077201447527,1.4475271411339,3.61881785283474,2.35223160434258,5.91073582629674,3.49819059107358,15.5609167671894,25.3920386007238,6.27261761158022,9.52955367913148,5.60916767189385,1.32689987937274,0.844390832328106,100,0,0,95.8833619210978,4.11663807890223,69.1252144082333,16.295025728988,2.22984562607204,8.57632933104631,3.2590051457976,0.514579759862779,0,49.9105545617174,41.5026833631485,0.178890876565295,0.178890876565295,0.178890876565295,6.44007155635063,0,1.61001788908766,0.536672629695885,2.14669051878354,1.96779964221825,2.68336314847943,24.3291592128801,41.6815742397138,19.1413237924866,12.1645796064401,11.0367892976589,29.6822742474916,21.4882943143813,2.4247491638796,1.92307692307692,12.0401337792642,8.94648829431438,8.4448160535117,0.836120401337793,3.17725752508361,0.585284280936455,0.418060200668896,0.250836120401338,0.752508361204013,1196,7.35785953177258,5.93645484949833,13.2943143812709,1.08695652173913,0.0836120401337793,0.167224080267559,31.6889632107023,1.33779264214047,0.418060200668896,1.42140468227425,0.752508361204014,36.4548494983278,401,0.571072319201995,0.329177057356608,0.0448877805486284,0.0548628428927681,0.54,94.1,1.07,1.07,270,64.5074074074074,76.037037037037,1656,1648,1.4634,1131.61131611316,1136.39469728031,"87557",2.9,8.2,4.2,"Urban city and town",73.3788395904437,"3b Asian traits","3 Ethnically diverse professionals","Enfield 011D"
"10","E01017797",565,562,8192,7545,4628262,4240260,525,511,33123,33671,17389331,17206031,889,6163102,0.383577052868391,0.487064116985377,0.129358830146232,7.30234080082906,8521.37313432836,7305.90886699507,0.244094488188976,0.358678957447078,24,344188,0.942172969882456,0.0526171123174503,1.66791744840525,11563.04315197,1951.29090909091,1.85,16.67,20.37,9.26,5.56,11.11,7.41,3.7,3.7,7.41,9.26,5.56,0.19,1513,91.64,16.51025753,49.90085922,50.09914078,100,0,41.4163912756114,45,6.60938532716457,4.49438202247191,2.3132848645076,7.7990746860542,1.5862524785195,2.57766027759418,1.65234633179114,4.03172504957039,3.23859881031064,15.66424322538,23.7937871777925,6.87376074025116,11.1698612029081,5.55188367481824,1.98281559814937,0.660938532716457,100,0,0,96.9090909090909,3.09090909090909,81.0909090909091,11.8181818181818,1.63636363636364,4.18181818181818,0.363636363636364,0.727272727272727,0.181818181818182,56.4727954971857,34.8968105065666,0.187617260787992,0.187617260787992,1.50093808630394,5.62851782363977,0.187617260787992,0.938086303939963,0.375234521575985,1.87617260787993,0.75046904315197,5.25328330206379,28.1425891181989,44.0900562851782,14.6341463414634,7.87992495309568,12.1647509578544,32.4712643678161,17.2413793103448,1.91570881226054,1.81992337164751,16.3793103448276,6.32183908045977,9.00383141762452,1.0536398467433,1.62835249042146,0.0957854406130268,1.24521072796935,0,0.957854406130268,1044,11.0153256704981,2.01149425287356,13.6015325670498,0.478927203065134,0.28735632183908,0,28.448275862069,2.68199233716475,0.383141762452107,3.44827586206897,0.862068965517241,36.7816091954023,350,0.645714285714286,0.268571428571429,0.0428571428571429,0.0428571428571429,0.38,94.56,0.75,0.94,261,68.2375478927203,76.3256704980843,1511,1572,0.9164,1648.84329986905,1670.66783064164,"85727.5",2.8,8.8,4.3,"Urban city and town",100,"8a Affluent communities","8 Suburban living","South Bucks 001B"
