"LSOA11","area_supergroup","area_group","gas_centile","elec_centile","drive_centile","median_household_income","mean_household.size","RUC11","acc_town_p15min_PT_walk","Crr_EE","postcodes"
"E01009671","1 Cosmopolitan student neighbourhoods","1a Cosmopolitan student neighbourhoods",100,99,100,"73692",3.1,"Urban city and town",77.2819472616633,72.4226804123711,"CV4 7AB, CV4 7AD, CV4 7AE, CV4 7AF, CV4 7AG, CV4 7AH, CV4 7AJ, CV4 7AL, CV4 7AP, CV4 7AQ, CV4 7BD, CV4 7DJ, CV4 7EQ, CV4 7ER, CV4 7ES, CV4 7EZ, CV4 7HB, CV4 7HD, CV4 7HE, CV4 7HF, CV4 7HH, CV4 7HL, CV4 7HN, CV4 7HP, CV4 7HS, CV4 7HW, CV4 7HX, CV4 7JJ, CV4 7JL, CV4 7LA, CV4 7LB, CV4 7LE, CV4 8GL, CV4 8UW"
"E01030789","8 Suburban living","8a Affluent communities",99,95,100,"67794",2.6,"Urban city and town",100,66.0955631399317,"GU151AA, GU151AB, GU151AD, GU151AE, GU151AF, GU151AN, GU151AP, GU151DA, GU151DB, GU151DD, GU151DE, GU151DF, GU151DG, GU151DT, GU151DU, GU151EA, GU151EG, GU151EH, GU151FB, GU151FD, GU151FE, GU151FF, GU151HA, GU151HT, GU151HU, GU151HX, GU151HY, GU151HZ, GU151JA, GU151JB, GU151JD, GU151JF, GU151JG, GU151JH, GU151JJ, GU151JL, GU151JN, GU151JP, GU151JR, GU151JW, GU168RH, GU168RN"
"E01014181","8 Suburban living","8c Comfortable suburbia",92,80,100,"64130.5",3,"Urban city and town",74.9063670411985,65.3756097560976,"TF2 9FD, TF2 9FE, TF2 9FF, TF2 9GJ, TF2 9GL, TF2 9GN, TF2 9GP, TF2 9GU, TF2 9GW, TF2 9GX, TF2 9GY, TF2 9GZ, TF2 9NF, TF2 9NQ, TF2 9QE, TF2 9RJ, TF2 9RU, TF2 9RY, TF2 9RZ, TF2 9SR, TF2 9SS, TF2 9TA, TF2 9TL, TF2 9TT, TF2 9UA, TF2 9UR, TF2 9US, TF2 9UT, TF2 9UU, TF2 9UW, TF2 9UX, TF2 9WD, TF2 9WE, TF2 9WF, TF2 9WG, TF2 9WH, TF2 9WJ, TF2 9YA, TF2 9YE"
"E01022873","8 Suburban living","8a Affluent communities",98,83,99,"75407",2.6,"Urban city and town",79.5197740112994,76.1009463722397,"GU514AG, GU514AH, GU514AJ, GU514AL, GU514AN, GU514AQ, GU514AW, GU514DL, GU514DW, GU514ED, GU514EE, GU514EF, GU514EH, GU514EL, GU514ES, GU514EX, GU514EY, GU514HA, GU514HB, GU514HD, GU514HE, GU514HF, GU514HG, GU514HJ, GU514HL, GU514HN, GU514HP, GU514HQ, GU514HR, GU514HS, GU514HT, GU514HU, GU514HW, GU514JH, GU514JJ, GU514JN, GU514JR, GU514JW, GU514JY, GU514JZ, GU514LB, GU514LE, GU514LF, GU514LG, GU514LH, GU514LJ, GU514LL, GU514LN, GU514LP, GU514LQ, GU514LR, GU514LS, GU514LT, GU514LU, GU514LW, GU514LZ, GU514PE, GU514QE, GU515AA, GU515AB, GU515AD, GU515AE, GU515AF, GU515AG, GU515AH, GU515AQ, GU515BD, GU515BE, GU515BF, GU515BH, GU515BJ, GU515BL, GU515BN, GU515BP, GU515BQ, GU515BS, GU515BT, GU515BU, GU515BW, GU515BX, GU515BY, GU515DB, GU515DD, GU515DE, GU515DF, GU515DG, GU515DN, GU515DQ, GU515DW, GU515EE, GU515HS, GU515HX, GU515HZ, GU515JA, GU515JL, GU515JP"
"E01017841","3 Ethnically diverse professionals","3b Asian traits",95,81,99,"69946",2.7,"Urban city and town",79.1505791505791,71.710027100271,"HP111AB, HP111AP, HP111AQ, HP111AX, HP111AY, HP111BD, HP111BF, HP111BQ, HP111BX, HP111BY, HP111DX, HP111EG, HP111EU, HP111FA, HP111FB, HP111FF, HP111FQ, HP111PA, HP111PH, HP111PL, HP111PN, HP111PP, HP111PT, HP111PU, HP111PW, HP111PX, HP111PY, HP111QA, HP111QD, HP111QE, HP111QF, HP111QG, HP111QH, HP111QJ, HP111QP, HP111QQ, HP111QR, HP111QS, HP111QT, HP111QW, HP111SX, HP111SY, HP111SZ, HP111TA, HP111TB, HP111TJ, HP111UN, HP111UP, HP111UW"
"E01021609","8 Suburban living","8c Comfortable suburbia",91,91,99,"68942.5",2.8,"Urban city and town",78.1021897810219,64.5135135135135,"CM3 5EU, CM3 5GA, CM3 5GD, CM3 5GE, CM3 5GL, CM3 5GN, CM3 5GW, CM3 5LW, CM3 5LX, CM3 5WH, CM3 5WJ, CM3 5WP, CM3 5ZG, CM3 5ZN, CM3 7AP, CM3 7AR, CM3 7AS"
"E01021386","8 Suburban living","8c Comfortable suburbia",85,85,99,"65160",2.9,"Urban city and town",54.0447504302926,65.4522821576764,"CM777AW, CM777FX, CM777JR, CM777PA, CM777QH, CM777QX, CM777QZ, CM777UD, CM777UE, CM777UF, CM777UG, CM777UP, CM777UQ, CM777WA, CM777WB, CM777WR, CM777XE, CM777YD, CM777YE, CM777YF"
"E01027066","8 Suburban living","8b Ageing suburbanites",83,90,99,"52212",2.7,"Urban city and town",64.4927536231884,68.0734463276836,"NN100GA, NN100GB, NN100GD, NN100GE, NN100GF, NN100GG, NN100GH, NN100GJ, NN100NE, NN100NH, NN100PN, NN100QF, NN100QN, NN100QT, NN100QW, NN100RQ, NN100RY, NN100SA, NN100SB, NN100SD, NN100SE, NN100SH, NN100SJ, NN100SL, NN100SN, NN100SQ, NN100SW, NN100UZ, NN100XL, NN100YG, NN100YH, NN100YJ, NN100YL, NN100YP, NN100YR, NN100YS, NN100YW, NN100YZ"
"E01012435","8 Suburban living","8b Ageing suburbanites",78,86,99,"56827",2.8,"Urban city and town",79.6215429403202,71.804469273743,"WA7 2UX, WA7 2UZ, WA7 6EB, WA7 6JP, WA7 6PA, WA7 6PB, WA7 6PD, WA7 6PG, WA7 6PH, WA7 6PJ, WA7 6PT, WA7 6PX, WA7 6PY, WA7 6PZ, WA7 6QN, WA7 6RH, WA7 6RJ, WA7 6RN, WA7 6RW, WA7 6RY, WA7 6SA, WA7 6SF, WA7 6SG, WA7 6SH, WA7 6SJ, WA7 6SL, WA7 6SN, WA7 6SP, WA7 6SQ, WA7 6SS, WA7 6SU, WA7 6SY, WA7 6SZ, WA7 6UA, WA7 6UB, WA7 6UD, WA7 6UE, WA7 6UF, WA7 6UG, WA7 6UH, WA7 6UJ, WA7 6UL, WA7 6UN, WA7 6UP, WA7 6UQ, WA7 6UT"
"E01017432","2 Countryside living","2a Ageing rural neighbourhoods",72,83,99,"44167",2.5,"Urban city and town",100,64.7007874015748,"SG191ER, SG191GA, SG191GB, SG191GD, SG191GE, SG191GF, SG191HJ, SG191HL, SG191HN, SG191HP, SG191HW, SG191NE, SG191NG, SG191NH, SG191NJ, SG191NL, SG191NN, SG191NP, SG191NQ, SG191NR, SG191NS, SG191PA, SG191PD, SG191PE, SG191PF, SG191PH, SG191PJ, SG191PL, SG191PQ, SG191PY, SG191QA, SG191RT, SG191RU"
