"","from","to","value"
"8","RU","LSOA11CD",0.675673150222209
"9","RUC11CD","LSOA11CD",0.601143848833151
"59","motor","LSOA11CD",0.505835666666939
"60","pt","LSOA11CD",-0.612899294830196
"133","Reg","Region",1
"138","gasAv","elecAv",0.677302015163552
"139","nrgHH","elecAv",0.652841880887778
"144","cluster","elecAv",0.796322548002053
"145","Income","elecAv",0.546146195593901
"151","SelfEmployed","elecAv",0.638048886247179
"161","AB","elecAv",0.524940852017157
"164","DE","elecAv",-0.512371250601999
"169","Detached","elecAv",0.56388896510604
"177","Rooms","elecAv",0.656931938927554
"182","totalcar","elecAv",0.538470657640699
"183","percNoCar","elecAv",-0.538725708718407
"184","carsHHcar","elecAv",0.701954258015961
"185","carsHH","elecAv",0.651308956959443
"196","home","elecAv",0.69725200519995
"198","all","elecAv",0.801539628268597
"199","dom","elecAv",0.776240881359346
"204","elecAv","gasAv",0.677302015163552
"206","nrgHH","gasAv",0.57487588350656
"211","cluster","gasAv",0.770005692123004
"212","Income","gasAv",0.616744979088516
"213","IMD","gasAv",-0.552271156086078
"218","SelfEmployed","gasAv",0.56174637403069
"223","Sick","gasAv",-0.51955845400621
"228","AB","gasAv",0.650700435149653
"231","DE","gasAv",-0.59212738101249
"232","Outright","gasAv",0.62167224702856
"234","Social","gasAv",-0.56575076859329
"236","Detached","gasAv",0.559744449330069
"244","Rooms","gasAv",0.757556874410175
"247","hhnocar","gasAv",-0.539680183942899
"250","percNoCar","gasAv",-0.559562753249964
"251","carsHHcar","gasAv",0.643669512188915
"252","carsHH","gasAv",0.625301375805334
"263","home","gasAv",0.598968817392085
"265","all","gasAv",0.90641194918658
"266","dom","gasAv",0.989564805084594
"271","elecAv","nrgHH",0.652841880887778
"272","gasAv","nrgHH",0.57487588350656
"275","SupergroupName","nrgHH",0.55948636554186
"276","RU","nrgHH",0.551444907540763
"277","RUC11CD","nrgHH",0.574886610085455
"278","cluster","nrgHH",0.787976923139963
"280","IMD","nrgHH",-0.717116192178946
"287","Unemployed","nrgHH",-0.6214188199739
